label,intent,query
0,Promotions,what promotions do you have?
0,Promotions,what promotions are available?
0,Promotions,promotions
0,Promotions,I want to see promotions
0,Promotions,view promotions
0,Promotions,where are your promotions
0,Promotions,show your promotions
0,Promotions,let me see your promotions
0,Promotions,please show promotions
1,"Deposit, Loan and Investment Promotions",
2,Card Promotions,what card promotions do you have?
2,Card Promotions,what card promotions are available?
2,Card Promotions,card promotions
2,Card Promotions,I want to see card promotions
2,Card Promotions,view card promotions
2,Card Promotions,where are your card promotions
2,Card Promotions,show your card promotions
2,Card Promotions,let me see your card promotions
2,Card Promotions,please show card promotions
3,Open Account,i want to open an account
3,Open Account,where can i sign up for an account?
3,Open Account,help me set up a bank account
3,Open Account,how to open a bank account?
3,Open Account,i want to sign up for a bank account
3,Open Account,bank account registration
3,Open Account,steps for signing up for a bank account.
3,Open Account,
4,OCBC Singapore Account,open an OCBC account in singapore
4,OCBC Singapore Account,how to open Singapore OCBC account
4,OCBC Singapore Account,help me set up a bank account in singapore
4,OCBC Singapore Account,how to open a bank account in singapore?
4,OCBC Singapore Account,i want to sign up for a bank account in singapore
4,OCBC Singapore Account,singapoeran bank account registration
4,OCBC Singapore Account,steps for signing up for a Singaporean bank account.
5,OCBC Securities Account ,how to open a securities account?
5,OCBC Securities Account ,i want to open a securities account
5,OCBC Securities Account ,steps to open securities account
5,OCBC Securities Account ,open a securities account
5,OCBC Securities Account ,please open a securities account for me
6,OCBC Malaysia Account,open bank account in malaysia
6,OCBC Malaysia Account,how to open account in malaysia?
6,OCBC Malaysia Account,open Malaysian bank account
6,OCBC Malaysia Account,open OCBC account in Malaysia
6,OCBC Malaysia Account,
7,NISP Account,how to open NSIP account
7,NISP Account,where can i sign up for a NISP account?
7,NISP Account,help me set up a NISP account
7,NISP Account,i want to sign up for a NISP account
7,NISP Account,NISP bank account registration
7,NISP Account,i want to open an NSIP account
7,NISP Account,
8,Card Cancellation,I want to cancel my card
8,Card Cancellation,how to cancel card
8,Card Cancellation,card cancellation 
8,Card Cancellation,I want to terminate my card
8,Card Cancellation,how to terminate card
8,Card Cancellation,card termination
8,Card Cancellation,
9,Cancel Credit or Debit Card,how do i cancel my frank credit card?
9,Cancel Credit or Debit Card,how do I cancel debit card?
9,Cancel Credit or Debit Card,how to cancel credit card?
9,Cancel Credit or Debit Card,how to cancel debit card?
9,Cancel Credit or Debit Card,cancel frank credit card
9,Cancel Credit or Debit Card,cancel credit card
9,Cancel Credit or Debit Card,cancel debit card
9,Cancel Credit or Debit Card,debit card cancellation
9,Cancel Credit or Debit Card,i want to terminate my credit card
9,Cancel Credit or Debit Card,I want to terminate my debit card
9,Cancel Credit or Debit Card,how do i shut down my credit card?
9,Cancel Credit or Debit Card,show down my debit card
9,Cancel Credit or Debit Card,i dont want my credit card anymore
