Label,Intent,Questions
0,Statement request,i would like a copy of my statement
0,Statement request,please send me a copy of my statement
0,Statement request,how can I get my statement?
0,Statement request,I want a hard copy of my statement
0,Statement request,statement request please
0,Statement request,request for statement
1,Passbook savings accounts,how can I get my passbook statement
1,Passbook savings accounts,send me my OCBC account passbook statement
1,Passbook savings accounts,mail me my passbook account statement
1,Passbook savings accounts,give me my passbook statement
1,Passbook savings accounts,email softcopy of passbook statement
1,Passbook savings accounts,I would like a copy of my passbook statement
2,Card statements,I want my card statement
2,Card statements,statement for my cards
2,Card statements,how can I view my card statement?
2,Card statements,get a copy of my card statements
2,Card statements,see card statements
2,Card statements,card transaction statements
2,Card statements,view my card statements
3,Credit card statement,can I have my credit card statement?
3,Credit card statement,I want my credit card statement
3,Credit card statement,please mail me my credit card statement
3,Credit card statement,send me credit card statement
3,Credit card statement,how to view my credit card statement?
3,Credit card statement,check credit card statement.
6,Debit card statement,can I have my debit card statement?
6,Debit card statement,I want my credit debit statement
6,Debit card statement,please mail me my debit card statement
6,Debit card statement,send me credit debit statement
6,Debit card statement,how to view my debit card statement?
6,Debit card statement,check debit card statement.
7,Investment account statement,send me my investment account statement
7,Investment account statement,how can I view my investment account statement
7,Investment account statement,please tell me how to obtain a copy of my investment account statement
7,Investment account statement,send investment account statement
7,Investment account statement,statement of my investment account.
8,Home loan account statement,home loan account statement
8,Home loan account statement,view home loan statement
8,Home loan account statement,can I have my home loan statement?
8,Home loan account statement,where can I find the statement for home loans?
8,Home loan account statement,I want to see my loan statement
8,Home loan account statement,send a copy of my home loan statement
8,Home loan account statement,i want my housing loan statement
8,Home loan account statement,view housing loan statement
8,Home loan account statement,where is my property loan statement?
8,Home loan account statement,statement for housing loan
8,Home loan account statement,statemnt for property loan
12,360 Account interest dispute,why is my interest so low?
12,360 Account interest dispute,my 360 account interest is too low
12,360 Account interest dispute,why is my interest rate so low?
12,360 Account interest dispute,dispute interest amount.
12,360 Account interest dispute,low 360 account interest
12,360 Account interest dispute,account interest too low
12,360 Account interest dispute,bonus interest is not correct
12,360 Account interest dispute,incorrect bonus interest
12,360 Account interest dispute,incorrect interest payment for 360 account
12,360 Account interest dispute,step up bonus
12,360 Account interest dispute,step up interest
12,360 Account interest dispute,salary bonus rate
12,360 Account interest dispute,check salary bonus
12,360 Account interest dispute,check wealth bonus
12,360 Account interest dispute,what is my wealth interest
17,Change of billing cycle,I want to change my credit card billing cycle
17,Change of billing cycle,how to change billing cycle
17,Change of billing cycle,credit card billing cycle change
17,Change of billing cycle,what is my card billing cycle?
17,Change of billing cycle,amend my billing cycle
17,Change of billing cycle,change dates for billing cycle
18,Token Activation,how can i activate my onetoken?
18,Token Activation,how can i activate my one token?
